ID;Job Title;Company;Location;Responsibilities;Requirements;Benefits;URL
11;IT Support Engineer;Inetum Polska;Warsaw;"Maintenance and development of custom internal applications; Retrieving source code and reproducing reported bugs in applications; Analyzing issues in C# code and SQL databases; Documenting problem resolutions in the ticketing system; Escalating more complex tickets to third-line support; Using application documentation containing descriptions of the most common issues; Applying knowledge of C# and SQL to diagnose and resolve tickets";"Ability to read and understand source code in object-oriented and scripting languages (preferred: C#, PowerShell); Ability to work with code editing and analysis tools (preferred: Microsoft Visual Studio, Visual Studio Code, Notepad++); Practical knowledge of SQL; Experience working with relational databases (preferred: Microsoft SQL Server, Informix, MySQL); Ability to use database management tools (preferred: Microsoft SQL Management Studio, DBeaver); English B2, Polish C1";"Flexible working hours; Hybrid work model; Cafeteria system allowing personalized benefits; Referral bonuses up to PLN 6,000; Dedicated Team Manager; Technical mentoring; Team-building budget; Participation in charitable initiatives and sports programs; Inclusive and diverse work culture";https://www.linkedin.com/jobs/view/4390360901
12;Analyst - IT Support;Marsh;Warsaw;"Offer support to colleagues through various channels (In-Person, Phone, Chat & Virtual); Assist in the setup and configuration of laptops, including basic troubleshooting and maintenance of hardware and software; Respond to incidents and requests, escalating issues as needed; Communicate proactively with colleagues regarding their support requests; Help reconfigure laptops and perform basic tune-up services as required; Document all issues according to Standard Operating Procedures (SOP); Raise escalations and unresolved issues to senior members of staff; Use the Incident Management system to log and track support activities; Support proactive initiatives based on data from performance management systems; Collaborate with other technical teams to address device and system issues; Participate in training sessions to enhance knowledge of applications & systems; Assist with assigned projects; Occasional weekend / after-hours work for business-critical events or emergencies; Performs time tracking tasks as required";"Qualification in IT, Computer Science or related field OR minimum 2 years’ proven experience in an IT support role handling incidents, requests and device configuration; Practical experience with Windows OS and Microsoft 365; Active Directory knowledge; Endpoint hardware/software troubleshooting; Remote-support tools; ITSM system (ServiceNow or similar); Excellent verbal and written communication skills in English (min. B2) and Polish; Strong customer-service orientation; Ability to work across multiple time zones; Ability to follow SOPs, meet SLA targets, perform accurate time tracking; Willingness to participate in mandatory training; Ability to work from Warsaw office 5 days/week; Flexibility for occasional after-hours/weekend shifts and travel";"Attractive benefits package including private health care, sports card, life insurance, savings plan, lunch card, language courses; Work/life balance; Flexible working hours; Professional development opportunities; Inclusive and global work environment";https://www.linkedin.com/jobs/view/4359646868
13;Service Desk Specialist;Nordea;Warsaw;"Provide support to end users through all appropriate channels, such as phone, chat or ITSM tools regarding any kind of IT-related issues; Interact with other support groups in tasks related to IT infrastructure and applications in order to solve incidents; Register, prioritize and document all incidents reported to the service desk using the relevant tools following the incident management procedure; Diagnose software and hardware issues in order to find the right solution and thereby help the end user; Actively participate in knowledge sharing among colleagues in order to create and implement best practice; Take responsibility for own learning and keep updated within own area of responsibility to secure continuous competence building and personal growth";"Communicating freely both in speaking and in writing in English – level B2; A year of experience from a similar position or relevant education completed; Open-minded as a person and can-do approach when dealing with challenges; Good communication skills; Knowledge of request and incident management, according to ITIL, will be considered an advantage";"Gross salary of PLN 7,000; Hybrid working model; Career development opportunities through internships in other IT teams after one year of work experience; Collaboration, Ownership, Passion, Courage culture; Diversity and inclusion initiatives; Learning and development opportunities; Inclusive working environment";https://www.linkedin.com/jobs/view/4385352645
14;Data Modeller;Thrive IT Systems;Warsaw;"Develop and maintain data warehousing solutions using DBT and Snowflake; Build robust ETL pipelines to support analytics and reporting needs; Ensure data quality integrity and security within the warehouse environment; Optimize queries and data models for performance and cost efficiency";"Strong SQL skills; DBT model development; Snowflake; ETL pipelines; Data transformation design; Data Warehousing; Handson experience with DBT, Snowflake and SQL based data warehousing; Strong understanding of data warehousing principles and best practices; Ability to work collaboratively with business and technical teams";;https://www.linkedin.com/jobs/view/4418960551
15;IT Support;Astreya;Warsaw;"Maintain the highest quality standards across all assigned data center locations and remote points of presence (POP); Perform physical installation, repair, maintenance, and testing activities with meticulous attention to telecommunications industry standards; Execute basic data center and networking services, including cable management, installation of cable trays, and desk organization; Manage Installation, Move, Add, and Change (MAC) requests for CPU farms, network gear, and IT assets; Provide onsite troubleshooting and AV support for Google Meet equipment in conference rooms; Provide onsite technical support through desk visits, including troubleshooting, installation, and break/fix services for computers and accessories; Manage remote support, queue management, and user interactions via ServiceNow; Facilitate and coordinate with support teams to assist users with hardware and software needs; Encourage users to leverage standard IT support processes; Provide support to remote locations, including occasional travel; Oversee IT and network inventory, maintaining accuracy within the asset inventory database; Manage inventory for accessory racks and ensure supplies availability; Fulfill inventory requests and coordinate shipping and receiving logistics; Assist in coordinating site access and equipment staging; Coordinate with technicians to facilitate installation and maintenance activities; Analyze workflows and recommend improvements; Execute IT projects and special projects as required; Perform other duties as required";"Associate's degree (A.A) or equivalent from two-year college or technical school and 0 to 2 years’ related experience and/or training; or equivalent combination of education and experience; Knowledge of data center and POP infrastructure, including OSP, ISP, interfacility cabling, fiber and copper distribution, AC/DC power systems, environmental controls, relay rack/cabinet/cage construction; Ability to work independently, diagnose problems and take appropriate action with minimal supervision; Experience with Google Sheets, workflow and project management applications, and administrative software applications; Understanding of Tier-1 ITSM platform";;https://www.linkedin.com/jobs/view/4416517645
16;IT Analyst Software Lifecycle;ALTEN Polska;Warsaw;"Maintain and develop the Software Lifecycle experience for the Service Areas by enabling the Software Lifecycle data for the customer; Investigate and support in cases where Service Areas needs help with understanding the impact of obsolete software and also how to mitigate the software; Participate in audits related to the Software Lifecycle area";"The consultant needs great skills within Software Asset Lifecycle Management and to understand the software lifecycle activities; The resource needs to have a Can Do-attitude/self drive with great social skills within the team but also towards the stakeholders and application owners as well as good knowledge about technology (software and hardware); Knowledge about architecture, software processes and governance is wanted as well; Working with tools such as FlexeraOne or similar is a great advantage as well as knowledge with PowerBI and XL for reporting purposes; English at a professional level in both oral and written; Solid cooperation skills; Competences in Flexera tools such as FlexNetManagerSuite, DataPlatform or FlexeraOne modules “ITAM” and “ITV” is appreciated and a great advantage; Software Assets and life cycle management; Needs to have great social skills both within the team but also towards the stakeholders and application owners";"Medicover medical care; Medicover dental care; Medicover Benefits platform / Medicover Sport card; Employee referral program; Layette for a newborn employee’s child; Group life insurance; Pension scheme";https://www.linkedin.com/jobs/view/4415366657
17;Information Security Support Engineer;Luxoft Polska;Warsaw;"Execute identity remediation initiatives across critical systems, eliminating orphaned accounts, stale access, excessive privileges, and unmanaged service accounts; Perform hands-on cleanup and risk reduction across accounts, entitlements, and privileged access in alignment with firm standards; Drive service account security improvements, including remediation of clear-text passwords, credential vaulting and rotation, ownership validation, and enforcement of lifecycle controls; Support onboarding of applications and privileged accounts into the firm's Identity Governance & Administration (IGA) solution, and Privileged Access Management platforms in alignment to firm's access control requirements; Reduce administrative access across critical platforms by identifying excessive privileged access and implementing least-privilege controls; Strengthen group and entitlement governance by simplifying complex group structures and aligning them to standardized access models; Partner with application, infrastructure, and engineering teams to implement access changes and close control gaps; Track remediation efforts through completion, maintaining audit-ready documentation and measurable evidence of risk reduction; Monitor shared mailboxes and ticketing queues related to remediation and onboarding activities, ensuring timely response, prioritization, and escalation; Leverage AI tools and large language models to automate repeatable analysis, reconciliation, and documentation tasks";"Minimum of 3 years of professional experience in Identity & Access Management (IAM), information security, identity operations, or a related technology role; Active Directory expertise; Hands-on experience executing identity lifecycle management, account remediation, or access cleanup initiatives within an enterprise environment; Practical experience working with Identity Governance & Administration (IGA) solutions such as SailPoint; Working knowledge of Active Directory, group-based access models, and service account management; Experience supporting privileged account onboarding or working with Privileged Access Management (PAM) solutions (e.g., CyberArk or similar); Understanding of identity hygiene principles, least-privilege design, service account risk management, and access control best practices; Experience supporting remediation tracking and audit-related validation activities; Ability to analyze large access and entitlement datasets; Strong organizational skills; Clear written and verbal communication skills; Hands-on experience leveraging AI tools or large language models; Commitment to the highest ethical standards; English: B2 Upper Intermediate";;https://www.linkedin.com/jobs/view/4414568261
18;IT Support Engineer;Inetum Polska;Warsaw;"Maintenance and development of custom internal applications; Retrieving source code and reproducing reported bugs in applications; Analyzing issues in C# code and SQL databases; Documenting problem resolutions in the ticketing system; Escalating more complex tickets to third-line support; Using application documentation containing descriptions of the most common issues; Applying knowledge of C# and SQL to diagnose and resolve tickets";"Ability to read and understand source code in object-oriented and scripting languages (preferred: C#, PowerShell); Ability to work with code editing and analysis tools (preferred: Microsoft Visual Studio, Visual Studio Code, Notepad++); Practical knowledge of SQL; Experience working with relational databases (preferred: Microsoft SQL Server, Informix, MySQL); Ability to use database management tools (preferred: Microsoft SQL Management Studio, DBeaver); English B2, Polish C1";"Flexible working hours; Hybrid work model; Cafeteria system allowing personalized benefits; Referral bonuses up to PLN 6,000; Dedicated Team Manager; Technical mentoring; Team-building budget; Participation in charitable initiatives and sports programs; Inclusive and diverse work culture";https://www.linkedin.com/jobs/view/4390365746
19;IT Solution Designer / Solution Architect;Deloitte;Warsaw;"Design: You create the architecture for our digital services to ensure compliance with our policies and the fit into the Deloitte environment - looking at hosting, network, user access, data retention and all other aspects of solution design including those of sustainable operations; Analyze: Design patterns, suppliers, products - you consider their effectiveness in addressing our functional as well as quality requirements in close collaboration with stakeholders; Plan: During your projects, you create estimates for effort as well as implementation plans, closely aligned with our project managers; Lead: Together with your project team, you act as the technical sub-project lead, responsible for coordinating and driving implementation together with subject matter experts and operations teams; Share: You create the documentation and architectural views for your solution designs according to best-practice and present your work results to your stakeholders and peers to meet our internal standards and policies";"Degree in Computer Science or a similar relevant field of studies or completed vocational training as well as several years of relevant on-the-job experience; Knowledge of IT infrastructure, application management, databases, cloud, network, security, IAM, monitoring or other areas and proficiency at picking up new concepts and technology at a rapid pace; Experience in structuring, presenting and communicating your work results with stakeholders at all levels; Very strong ownership of your priorities, work structure and task management; Proficiency in English, German would be an optional valuable skill";"Stable job in multinational company based on employment contract; Working in flexible hybrid model; Individual training plan, soft skills and technical trainings; Access to modern training platforms e.g. Udemy for Business, LinkedIn Learning; Structured onboarding process and Buddy program; Open and friendly organizational culture based on well-being and diversity & inclusion";https://www.linkedin.com/jobs/view/4400183580
20;IT Support Specialist;Cognizant;Warsaw;"Provide technical support for desktop, laptop, and mobile devices; Troubleshoot and resolve hardware and software issues; Install, configure, and maintain operating systems and applications; Manage user accounts and permissions; Perform regular system updates and backups; Ensure security compliance and implement best practices; Collaborate with IT team members to improve system performance and reliability; Document technical procedures and solutions";"Bachelor’s degree in computer science, Information Technology, or related field; Minimum of 3 years of experience in desktop support or IT engineering; Proficiency in Windows, macOS, and Linux operating systems; Strong knowledge of networking protocols and hardware; Excellent problem-solving and communication skills; Ability to work independently and as part of a team; Certifications such as CompTIA A+, Microsoft Certified: Modern Desktop Administrator Associate, or similar are a plus; Operating Systems: Proficiency in Windows, macOS; Networking: Understanding networking protocols, hardware, and troubleshooting network issues; Software Management: Installing, configuring, and maintaining various software applications; Hardware Knowledge: Familiarity with computer hardware components and peripherals; Backup and Recovery: Implementing and managing backup solutions to ensure data integrity";"Multisport Card; LuxMed medical healthcare including dental care; Life insurance; Cafeteria benefits; Office perks: gaming and wellness space, snacks and drinks; Open-minded and multinational environment; Opportunity to be part of a global organization; Professional development and clear career path; Training & development opportunities including language courses";https://www.linkedin.com/jobs/view/4413146443
